"Label (Grouping)","Banks County, Georgia!!Estimate","Banks County, Georgia!!Estimate Margin of Error","Banks County, Georgia!!Percent","Banks County, Georgia!!Percent Margin of Error","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Estimate Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Estimate Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Elbert County, Georgia!!Estimate","Elbert County, Georgia!!Estimate Margin of Error","Elbert County, Georgia!!Percent","Elbert County, Georgia!!Percent Margin of Error","Franklin County, Georgia!!Estimate","Franklin County, Georgia!!Estimate Margin of Error","Franklin County, Georgia!!Percent","Franklin County, Georgia!!Percent Margin of Error","Habersham County, Georgia!!Estimate","Habersham County, Georgia!!Estimate Margin of Error","Habersham County, Georgia!!Percent","Habersham County, Georgia!!Percent Margin of Error","Hart County, Georgia!!Estimate","Hart County, Georgia!!Estimate Margin of Error","Hart County, Georgia!!Percent","Hart County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Estimate Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Madison County, Georgia!!Estimate","Madison County, Georgia!!Estimate Margin of Error","Madison County, Georgia!!Percent","Madison County, Georgia!!Percent Margin of Error","Oconee County, Georgia!!Estimate","Oconee County, Georgia!!Estimate Margin of Error","Oconee County, Georgia!!Percent","Oconee County, Georgia!!Percent Margin of Error","Oglethorpe County, Georgia!!Estimate","Oglethorpe County, Georgia!!Estimate Margin of Error","Oglethorpe County, Georgia!!Percent","Oglethorpe County, Georgia!!Percent Margin of Error","Rabun County, Georgia!!Estimate","Rabun County, Georgia!!Estimate Margin of Error","Rabun County, Georgia!!Percent","Rabun County, Georgia!!Percent Margin of Error","Stephens County, Georgia!!Estimate","Stephens County, Georgia!!Estimate Margin of Error","Stephens County, Georgia!!Percent","Stephens County, Georgia!!Percent Margin of Error","Towns County, Georgia!!Estimate","Towns County, Georgia!!Estimate Margin of Error","Towns County, Georgia!!Percent","Towns County, Georgia!!Percent Margin of Error","White County, Georgia!!Estimate","White County, Georgia!!Estimate Margin of Error","White County, Georgia!!Percent","White County, Georgia!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","6,463","±192","6,463","(X)","23,045","±468","23,045","(X)","41,980","±776","41,980","(X)","7,733","±263","7,733","(X)","8,691","±332","8,691","(X)","15,046","±1,148","15,046","(X)","9,492","±359","9,492","(X)","20,917","±427","20,917","(X)","9,430","±324","9,430","(X)","11,155","±372","11,155","(X)","4,701","±271","4,701","(X)","7,148","±324","7,148","(X)","9,307","±451","9,307","(X)","4,758","±297","4,758","(X)","12,063","±445","12,063","(X)"
"    Family households (families)","4,738","±256","73.3%","±3.5","17,215","±559","74.7%","±2.0","21,230","±696","50.6%","±1.5","5,491","±306","71.0%","±3.6","6,122","±327","70.4%","±2.9","11,033","±952","73.3%","±2.2","6,807","±352","71.7%","±3.1","15,870","±485","75.9%","±2.1","7,305","±391","77.5%","±2.8","8,918","±385","79.9%","±2.4","3,236","±268","68.8%","±4.9","4,499","±286","62.9%","±3.5","6,494","±440","69.8%","±3.7","3,187","±287","67.0%","±4.8","8,777","±454","72.8%","±3.6"
"        With own children under 18 years","1,930","±207","29.9%","±3.1","8,931","±521","38.8%","±2.1","9,246","±529","22.0%","±1.2","2,070","±251","26.8%","±3.0","2,342","±241","26.9%","±2.6","4,546","±519","30.2%","±2.2","2,764","±270","29.1%","±2.4","6,922","±456","33.1%","±2.0","2,998","±312","31.8%","±3.0","4,485","±270","40.2%","±2.0","1,243","±218","26.4%","±4.0","1,791","±237","25.1%","±3.0","2,378","±315","25.6%","±2.8","940","±152","19.8%","±3.0","3,752","±388","31.1%","±3.0"
"        Married-couple family","4,014","±237","62.1%","±3.4","13,030","±565","56.5%","±2.3","14,029","±568","33.4%","±1.3","3,579","±308","46.3%","±4.0","4,762","±326","54.8%","±3.3","8,760","±820","58.2%","±2.6","5,004","±302","52.7%","±3.2","12,326","±493","58.9%","±2.2","5,477","±400","58.1%","±3.5","7,515","±396","67.4%","±3.2","2,598","±226","55.3%","±4.8","3,619","±302","50.6%","±4.2","4,946","±373","53.1%","±3.4","2,705","±259","56.9%","±4.8","6,854","±426","56.8%","±3.8"
"            With own children under 18 years","1,526","±195","23.6%","±2.9","6,750","±512","29.3%","±2.2","5,291","±421","12.6%","±1.0","1,171","±207","15.1%","±2.7","1,682","±231","19.4%","±2.5","3,385","±427","22.5%","±2.0","1,755","±209","18.5%","±2.1","5,285","±392","25.3%","±1.8","1,999","±282","21.2%","±2.7","3,693","±262","33.1%","±2.2","978","±196","20.8%","±3.8","1,263","±211","17.7%","±2.9","1,668","±274","17.9%","±2.6","778","±170","16.4%","±3.4","2,512","±306","20.8%","±2.6"
"        Male householder, no wife present, family","202","±97","3.1%","±1.5","1,454","±275","6.3%","±1.2","1,676","±277","4.0%","±0.6","520","±161","6.7%","±2.1","349","±134","4.0%","±1.5","774","±244","5.1%","±1.5","414","±125","4.4%","±1.3","953","±226","4.6%","±1.1","513","±159","5.4%","±1.7","267","±108","2.4%","±0.9","197","±97","4.2%","±2.0","325","±136","4.5%","±1.9","422","±122","4.5%","±1.3","206","±95","4.3%","±1.9","513","±234","4.3%","±1.9"
"            With own children under 18 years","141","±93","2.2%","±1.5","751","±198","3.3%","±0.9","553","±162","1.3%","±0.4","242","±110","3.1%","±1.4","178","±97","2.0%","±1.1","402","±171","2.7%","±1.1","176","±103","1.9%","±1.1","285","±152","1.4%","±0.7","304","±152","3.2%","±1.6","132","±64","1.2%","±0.6","31","±34","0.7%","±0.7","186","±116","2.6%","±1.6","122","±73","1.3%","±0.8","82","±64","1.7%","±1.3","402","±210","3.3%","±1.7"
"        Female householder, no husband present, family","522","±135","8.1%","±2.0","2,731","±367","11.9%","±1.6","5,525","±459","13.2%","±1.1","1,392","±227","18.0%","±2.8","1,011","±203","11.6%","±2.3","1,499","±277","10.0%","±1.8","1,389","±241","14.6%","±2.4","2,591","±362","12.4%","±1.7","1,315","±238","13.9%","±2.5","1,136","±212","10.2%","±1.8","441","±139","9.4%","±2.8","555","±167","7.8%","±2.3","1,126","±243","12.1%","±2.5","276","±99","5.8%","±2.0","1,410","±288","11.7%","±2.3"
"            With own children under 18 years","263","±103","4.1%","±1.6","1,430","±262","6.2%","±1.1","3,402","±409","8.1%","±1.0","657","±178","8.5%","±2.2","482","±147","5.5%","±1.7","759","±220","5.0%","±1.4","833","±190","8.8%","±1.9","1,352","±286","6.5%","±1.3","695","±180","7.4%","±1.9","660","±154","5.9%","±1.4","234","±111","5.0%","±2.3","342","±138","4.8%","±1.9","588","±182","6.3%","±1.9","80","±63","1.7%","±1.3","838","±245","6.9%","±2.0"
