"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,7066,5770,4946,15427,23435,11305,8361,6477,5653,4946,5299,4946,4122,3297,2355,1884,1295,1413,3363,5869,13450,10821,2690,12656,12289,24668,37238,43323,10405
2013,7013,5824,4992,12956,25437,11292,8558,6538,5705,5111,5349,5111,4398,3328,2496,1783,1308,1426,3501,5814,13815,11752,2938,12440,12253,25541,39692,46204,11361
2014,7061,5745,5266,13763,24056,11370,8737,6223,6343,5146,5266,5146,4668,3590,2513,2035,1197,1556,3569,5672,14085,11982,3378,12492,12555,24320,38997,46084,12619
2015,6892,5683,5441,14267,23576,11244,8342,6771,6529,5199,5320,5441,4836,3869,2660,1814,1330,1572,3477,5431,14129,12047,3677,13088,12973,24207,40559,46842,14415
2016,6834,5858,5614,14156,23187,11349,8787,7078,6224,5248,5370,5614,5004,4149,2807,1953,1342,1586,3329,5808,14186,11801,4140,13591,13417,22250,39327,45570,10074
2017,6839,5844,5810,14093,22792,11616,8839,7390,6246,5637,5291,5812,5124,4355,2927,2124,1207,1608,3514,5577,14411,12046,4489,14124,14015,21142,38618,45014,7725
2018,6777,5787,6019,14042,22484,11745,8931,7510,6412,5678,5357,5621,5432,4600,3050,2321,1322,1514,3472,5478,14668,11650,4570,14604,15051,19219,35653,43390,8414
2019,6706,5950,6186,14074,22346,11869,9094,7776,6396,5819,5353,5777,5479,4577,3473,2625,1381,1295,3191,5334,14117,12152,4919,15656,15545,19021,34146,42610,7123
2020,6519,5329,6925,13886,22237,11833,9124,7988,6327,5996,5471,5755,5679,4619,3788,2762,1305,1409,2612,4982,14315,12713,4754,16126,16554,19111,30703,38696,9517
2021,6383,5791,6657,14747,21573,11514,9210,7727,6816,6258,5563,5768,5944,4809,3989,2790,1304,1352,2660,4855,14054,12370,4805,17059,17241,18085,30582,37825,8118
2022,6259,5516,6631,13233,23960,11233,9134,7393,7300,5960,5708,5734,5978,4781,4248,3089,1366,1341,2640,4784,13658,12273,4781,17848,17281,18947,31528,38059,8601
