"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,1266,1226,1307,1347,1367,925,1126,1226,1447,1367,1427,1287,1407,1166,724,684,362,462,1114,2038,6169,2065,679,910,611,1527,3976,5541,2632
2013,1254,1234,1234,1294,1234,1015,1194,1075,1413,1393,1433,1214,1453,1194,737,637,438,458,1025,1926,6284,2322,533,915,628,1652,4010,5456,2514
2014,1201,1260,1182,1221,1241,1044,1221,1024,1339,1359,1457,1201,1477,1300,729,591,473,433,1034,1946,6517,2123,517,857,599,1602,3977,5202,2725
2015,1211,1270,1094,1192,1231,1075,1153,1075,1270,1231,1446,1231,1465,1309,742,645,527,371,1034,2102,6183,2099,683,769,669,1539,3664,4910,2530
2016,1183,1144,1202,1144,1241,1086,1067,1008,1280,1241,1416,1299,1396,1280,834,659,504,388,911,1988,6094,2124,773,824,750,1591,3768,4950,2500
2017,1154,1094,1210,1129,1232,1180,1001,980,1252,1204,1414,1346,1375,1208,912,762,458,377,897,1985,6082,2225,791,856,633,1685,4246,5517,2248
2018,1120,1136,1301,1020,1106,1234,1071,962,1191,1178,1348,1403,1352,1112,1045,815,409,409,986,2066,5828,2318,865,875,591,1315,3697,5031,2202
2019,1143,1053,1300,1158,1139,1133,1056,988,1108,1148,1307,1411,1338,1048,1137,819,428,452,830,2055,5470,2526,935,926,631,1558,4029,5689,1976
2020,1121,980,1346,1138,1074,1105,1070,1028,1042,1094,1490,1266,1443,1083,1181,845,419,439,681,2188,5548,2727,772,1039,550,1961,4635,6118,2369
2021,1130,986,1399,1108,1045,1132,1164,1001,1114,1040,1516,1206,1630,1233,1110,800,428,411,591,2277,5511,3032,643,1070,661,2059,4515,5867,2040
2022,1037,1125,1383,1111,993,1187,1111,952,1229,1151,1476,1113,1625,1143,1191,805,475,463,689,1858,5642,3007,767,1180,778,1772,3653,4793,2175
