"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,2711,2884,2797,3013,2797,2582,2582,2884,2754,2970,3056,2754,2668,2152,1592,1248,947,689,2855,3230,9920,5739,1932,3057,2105,2470,7287,9247,3215
2013,2634,2807,2979,2979,2764,2720,2677,2764,2764,2936,2893,2764,2677,2332,1555,1339,864,734,3022,3399,9908,5840,1918,2964,2034,2962,8415,10929,2873
2014,2557,2947,2904,2904,2774,2514,2687,2947,2731,2861,2947,2644,2731,2384,1647,1517,867,693,2863,3564,10138,5872,1928,2746,2074,2657,7182,9959,2557
2015,2612,2873,2916,2873,2873,2612,2568,3047,2699,2786,2960,2655,2655,2438,1872,1480,871,827,2858,3555,9991,5873,1978,2958,2190,2383,7220,9957,2367
2016,2623,2667,3061,2886,3148,2449,2492,2798,2798,2886,2930,2623,2667,2492,2011,1399,1093,743,2855,3514,10046,5918,1864,2824,2313,2619,7471,9880,2511
2017,2576,2636,3101,2951,3116,2519,2511,2784,2662,2906,2903,2548,2777,2588,2067,1422,1093,718,2964,3516,9984,5692,1929,2982,2431,2697,7114,9426,2233
2018,2654,2615,3009,3139,3246,2422,2408,2928,2638,2959,2796,2527,2881,2649,2120,1442,1170,686,2754,3710,9987,5696,1938,3001,2540,2295,6041,8389,2409
2019,2606,2479,3149,3091,3017,2806,2433,2849,2597,3013,2783,2802,2756,2764,2069,1423,1391,598,2636,3537,10507,5810,1937,3237,2620,2307,6381,8488,2077
2020,2737,2398,3281,3185,3201,2677,2595,2936,2460,2972,2743,2678,2981,2943,1995,1384,1158,880,2609,3418,10438,5690,1841,3476,2930,2282,5841,8102,2636
2021,2711,2540,3225,3376,3018,2774,2778,3037,2524,2969,2673,2866,2921,2930,2090,1355,1059,921,2829,3185,10547,5347,1782,4023,3184,2273,5599,8688,2378
2022,2553,2490,3243,3545,3186,2944,2910,2835,2507,2967,2772,2803,2903,2847,2241,1441,1165,974,2886,3153,10544,5622,1921,4024,3159,2204,5942,9249,2560
