"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,4339,4098,4882,4219,3254,3616,4158,4098,4641,4701,4158,3737,3254,2592,1868,1205,723,663,3475,4423,13981,7701,2488,4660,2725,3598,9331,11654,4895
2013,4301,4180,4846,4119,3332,3695,3998,3877,4967,4664,4240,3574,3453,2726,1938,1272,666,727,3188,4344,14107,7811,2630,5101,2670,3631,9540,12143,4106
2014,4143,4143,4996,4082,3412,3595,4021,3838,5118,4691,4143,3656,3412,2681,2193,1401,792,609,3131,4295,14008,8268,2970,5017,2488,3624,9062,11834,3610
2015,4115,4422,4914,3992,3378,3562,3931,3747,5282,4729,4177,3869,3378,2825,2273,1474,737,614,2753,4279,13921,8657,3209,5314,2490,3704,8314,11140,2890
2016,4101,4722,4536,4039,3417,3666,3914,3914,5157,4536,4349,3914,3479,2982,2423,1615,808,559,2658,4893,13755,8845,3282,5270,2607,3577,8330,11452,3421
2017,4137,4810,4584,4129,3223,4080,4006,4199,5159,4501,4361,3938,3607,3365,2321,1950,864,617,2517,4879,14174,8939,3997,5506,2956,3459,7898,10992,2640
2018,4262,4903,4782,4275,3300,4130,4184,4449,4899,4756,4576,4097,3667,3363,2469,1920,1031,692,2430,4786,14274,9149,4288,5952,3354,3180,7168,10235,2956
2019,4449,5032,4810,4439,3298,4519,4386,4690,4628,4979,4801,4128,3947,3637,2399,1945,979,819,2520,4790,14741,9141,4257,6798,3610,3506,7564,10157,2681
2020,4548,4739,5474,4635,3429,4555,4869,4676,5107,4907,4915,4071,4394,3656,2488,2324,954,726,2450,4535,15289,10017,4173,7644,3534,2976,6501,8580,3477
2021,4658,4674,6206,4951,3292,4632,5507,4968,5153,5306,5054,4179,4742,3765,2596,2514,847,795,2445,4430,16087,10173,4407,8669,3847,3008,7113,9564,3274
2022,4760,4739,6454,5234,3825,4656,5764,5484,5309,5352,5072,4530,4728,4041,2682,2524,1053,826,2327,4019,16821,10384,4672,9536,4262,2768,6198,9009,3560
