"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,1612,1560,1898,1976,1586,1404,1196,1560,1612,1742,1924,1742,1794,1534,962,728,676,494,1216,2589,6898,2902,1216,1564,973,1989,4667,6697,3732
2013,1555,1399,1840,2073,1788,1399,1192,1347,1684,1840,1814,1788,1788,1529,1088,777,648,363,1052,2328,7019,2949,1449,1449,1018,2151,4923,7012,3232
2014,1364,1390,2008,1879,2034,1287,1210,1261,1776,1725,1750,1879,1673,1750,1004,669,618,412,955,2099,6705,3327,1314,1416,1263,2225,4807,6956,3284
2015,1281,1409,1998,1819,1947,1332,1332,1230,1691,1793,1717,1973,1563,1665,1127,743,564,436,966,2460,6572,3143,1246,1443,1332,2349,4707,6952,3191
2016,1330,1433,1970,1740,2021,1356,1330,1279,1535,1740,1689,1996,1509,1714,1254,870,486,333,1023,2212,6376,3297,1176,1552,1461,2403,4995,7235,3109
2017,1442,1584,1697,1817,1889,1343,1342,1043,1640,1802,1728,1971,1535,1503,1495,807,479,508,933,2225,6202,3254,1208,1824,1550,2230,4504,6553,2705
2018,1484,1632,1556,1901,1818,1431,1385,1125,1478,1856,1624,1942,1552,1562,1544,880,347,559,871,1985,6343,3348,912,2160,1666,1887,4007,5793,2796
2019,1697,1577,1394,1846,1809,1582,1421,1028,1482,1832,1590,1901,1510,1575,1667,1068,282,489,749,2376,6727,2775,1136,2051,1613,1791,3291,4761,2475
2020,1684,1465,1497,1829,1839,1581,1420,1266,1434,1718,1539,1769,1675,1860,1450,975,288,645,1082,2161,6997,3079,1124,1815,1362,1400,3468,4953,2968
2021,1686,1455,1700,1738,1913,1738,1507,1304,1491,1619,1635,1714,1918,1944,1389,965,327,598,876,2048,7312,3991,961,1800,1161,1437,3432,4943,2524
2022,1654,1566,1577,1705,1911,1590,1506,1348,1507,1544,1659,1574,1993,1942,1306,1088,572,690,1003,1991,7465,3918,1012,1777,1153,1594,3289,5173,2731
