"Year","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Under 50% of poverty line","Under 100% of poverty line","Under 125% of poverty line","Population participating in SNAP"
2012,1493,1520,1873,1574,1710,1303,1357,1737,1900,1954,1927,2036,1900,1683,1221,896,624,380,1043,1782,6352,4626,1384,2275,1498,1824,4587,5870,2120
2013,1480,1644,1863,1836,1617,1288,1343,1644,1754,2028,2000,2110,1781,1671,1343,1014,630,356,1043,1782,6465,4607,1422,2370,1270,1618,5400,6746,1855
2014,1380,1821,1628,1738,1711,1407,1325,1600,1683,1904,2097,2401,1656,1738,1435,1021,690,331,945,1756,6695,4553,1582,2257,1486,1515,5152,6558,1744
2015,1306,1834,1695,1779,1806,1362,1334,1529,1612,1890,2084,2362,1695,1862,1473,1195,528,417,1124,1723,6045,4708,1756,2441,1568,1404,5195,6647,1612
2016,1323,1745,1717,1885,1717,1463,1351,1379,1660,1970,2167,2364,1745,2082,1379,1097,591,478,884,2147,6208,4666,1729,2417,1687,1624,5345,6669,1632
2017,1264,1830,1606,2043,1700,1473,1334,1499,1498,1986,2176,2547,1654,1992,1580,1164,606,557,673,2288,6368,4825,1853,2396,1663,1654,4981,6324,1337
2018,1257,1764,1577,2062,1754,1544,1368,1370,1653,1997,2189,2390,1788,1911,1838,1215,630,621,568,2491,6477,4690,1905,2693,1690,1510,3918,5130,1379
2019,1286,1560,1729,2116,1832,1599,1423,1488,1575,2109,2004,2461,1802,1964,1890,1412,610,629,593,2510,6482,4734,1878,2767,2002,1156,3146,4252,1184
2020,1238,1395,1747,2056,1831,1673,1443,1564,1469,2362,1929,2625,1840,2008,2027,1499,803,453,751,2562,6872,5360,1762,2608,1780,1769,3330,4384,1632
2021,1346,1202,1914,1669,2033,1378,1347,1466,1347,1858,1847,2319,1828,1963,1886,1245,742,496,715,2210,6137,4710,1648,2601,1701,1449,3254,4073,1414
2022,1389,1247,1742,1748,2117,1407,1355,1519,1435,1749,1813,2290,1908,1880,1935,1591,685,355,979,1885,6223,4723,1505,2647,1960,1845,3561,4259,1498
