"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Percent!!Estimate","Banks County, Georgia!!Percent!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Percent Male!!Estimate","Banks County, Georgia!!Percent Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Banks County, Georgia!!Percent Female!!Estimate","Banks County, Georgia!!Percent Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Percent!!Estimate","Barrow County, Georgia!!Percent!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Percent Male!!Estimate","Barrow County, Georgia!!Percent Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Percent Female!!Estimate","Barrow County, Georgia!!Percent Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Percent!!Estimate","Clarke County, Georgia!!Percent!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Percent Male!!Estimate","Clarke County, Georgia!!Percent Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Percent Female!!Estimate","Clarke County, Georgia!!Percent Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Percent!!Estimate","Elbert County, Georgia!!Percent!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Percent Male!!Estimate","Elbert County, Georgia!!Percent Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Percent Female!!Estimate","Elbert County, Georgia!!Percent Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Percent!!Estimate","Franklin County, Georgia!!Percent!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Percent Male!!Estimate","Franklin County, Georgia!!Percent Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Percent Female!!Estimate","Franklin County, Georgia!!Percent Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Percent!!Estimate","Habersham County, Georgia!!Percent!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Percent Male!!Estimate","Habersham County, Georgia!!Percent Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Percent Female!!Estimate","Habersham County, Georgia!!Percent Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Percent!!Estimate","Hart County, Georgia!!Percent!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Percent Male!!Estimate","Hart County, Georgia!!Percent Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Percent Female!!Estimate","Hart County, Georgia!!Percent Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Percent!!Estimate","Jackson County, Georgia!!Percent!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Percent Male!!Estimate","Jackson County, Georgia!!Percent Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Percent Female!!Estimate","Jackson County, Georgia!!Percent Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Percent!!Estimate","Madison County, Georgia!!Percent!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Percent Male!!Estimate","Madison County, Georgia!!Percent Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Percent Female!!Estimate","Madison County, Georgia!!Percent Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Percent!!Estimate","Oconee County, Georgia!!Percent!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Percent Male!!Estimate","Oconee County, Georgia!!Percent Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Percent Female!!Estimate","Oconee County, Georgia!!Percent Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Percent!!Estimate","Oglethorpe County, Georgia!!Percent!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Percent Male!!Estimate","Oglethorpe County, Georgia!!Percent Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Percent Female!!Estimate","Oglethorpe County, Georgia!!Percent Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Percent!!Estimate","Rabun County, Georgia!!Percent!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Percent Male!!Estimate","Rabun County, Georgia!!Percent Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Percent Female!!Estimate","Rabun County, Georgia!!Percent Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Percent!!Estimate","Stephens County, Georgia!!Percent!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Percent Male!!Estimate","Stephens County, Georgia!!Percent Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Percent Female!!Estimate","Stephens County, Georgia!!Percent Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Percent!!Estimate","Towns County, Georgia!!Percent!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Percent Male!!Estimate","Towns County, Georgia!!Percent Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Percent Female!!Estimate","Towns County, Georgia!!Percent Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Percent!!Estimate","White County, Georgia!!Percent!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Percent Male!!Estimate","White County, Georgia!!Percent Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error","White County, Georgia!!Percent Female!!Estimate","White County, Georgia!!Percent Female!!Margin of Error"
"Total population","18,061","*****","(X)","(X)","9,121","±142","(X)","(X)","8,940","±142","(X)","(X)","82,138","*****","(X)","(X)","40,462","±78","(X)","(X)","41,676","±78","(X)","(X)","128,195","*****","(X)","(X)","61,198","±133","(X)","(X)","66,997","±133","(X)","(X)","19,453","*****","(X)","(X)","9,268","±128","(X)","(X)","10,185","±128","(X)","(X)","23,256","*****","(X)","(X)","11,464","±185","(X)","(X)","11,792","±185","(X)","(X)","45,767","*****","(X)","(X)","21,624","±254","(X)","(X)","24,143","±254","(X)","(X)","25,808","*****","(X)","(X)","12,824","±150","(X)","(X)","12,984","±150","(X)","(X)","73,839","*****","(X)","(X)","36,805","±151","(X)","(X)","37,034","±151","(X)","(X)","29,906","*****","(X)","(X)","14,592","±212","(X)","(X)","15,314","±212","(X)","(X)","41,006","*****","(X)","(X)","20,336","±153","(X)","(X)","20,670","±153","(X)","(X)","14,779","*****","(X)","(X)","7,544","±130","(X)","(X)","7,235","±130","(X)","(X)","16,731","*****","(X)","(X)","8,207","±117","(X)","(X)","8,524","±117","(X)","(X)","26,641","*****","(X)","(X)","12,820","±266","(X)","(X)","13,821","±266","(X)","(X)","12,300","*****","(X)","(X)","5,844","±150","(X)","(X)","6,456","±150","(X)","(X)","27,886","*****","(X)","(X)","13,782","±165","(X)","(X)","14,104","±165","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","959","±61","5.3%","±0.3","453","±19","5.0%","±0.2","506","±55","5.7%","±0.6","5,417","±37","6.6%","±0.1","2,794","±14","6.9%","±0.1","2,623","±31","6.3%","±0.1","6,383","±4","5.0%","±0.1","3,290","±4","5.4%","±0.1","3,093","±4","4.6%","±0.1","1,130","±63","5.8%","±0.3","632","±69","6.8%","±0.7","498","±76","4.9%","±0.7","1,221","±27","5.3%","±0.2","687","±31","6.0%","±0.3","534","±31","4.5%","±0.3","2,711","±74","5.9%","±0.2","1,310","±56","6.1%","±0.3","1,401","±61","5.8%","±0.2","1,245","±220","4.8%","±0.9","695","±134","5.4%","±1.1","550","±111","4.2%","±0.8","4,658","±49","6.3%","±0.1","2,423","±99","6.6%","±0.3","2,235","±100","6.0%","±0.3","1,716","±94","5.7%","±0.3","764","±52","5.2%","±0.3","952","±111","6.2%","±0.7","2,084","±143","5.1%","±0.3","1,110","±125","5.5%","±0.6","974","±78","4.7%","±0.4","760","±106","5.1%","±0.7","416","±77","5.5%","±1.1","344","±43","4.8%","±0.6","746","±63","4.5%","±0.4","349","±39","4.3%","±0.5","397","±51","4.7%","±0.6","1,686","±196","6.3%","±0.7","835","±112","6.5%","±0.8","851","±209","6.2%","±1.4","401","±4","3.3%","±0.1","187","±106","3.2%","±1.8","214","±106","3.3%","±1.6","1,346","±185","4.8%","±0.7","745","±184","5.4%","±1.3","601","±30","4.3%","±0.2"
"        5 to 9 years","1,101","±172","6.1%","±1.0","514","±96","5.6%","±1.1","587","±135","6.6%","±1.5","6,128","±367","7.5%","±0.4","2,950","±363","7.3%","±0.9","3,178","±329","7.6%","±0.8","5,791","±566","4.5%","±0.4","3,175","±424","5.2%","±0.7","2,616","±390","3.9%","±0.6","986","±145","5.1%","±0.7","440","±100","4.7%","±1.1","546","±123","5.4%","±1.2","1,468","±190","6.3%","±0.8","791","±146","6.9%","±1.3","677","±119","5.7%","±1.0","2,540","±303","5.5%","±0.7","1,262","±216","5.8%","±1.0","1,278","±218","5.3%","±0.9","1,761","±295","6.8%","±1.1","845","±204","6.6%","±1.6","916","±210","7.1%","±1.6","4,674","±453","6.3%","±0.6","2,569","±308","7.0%","±0.8","2,105","±286","5.7%","±0.8","1,769","±327","5.9%","±1.1","862","±210","5.9%","±1.4","907","±205","5.9%","±1.3","3,429","±306","8.4%","±0.7","2,052","±251","10.1%","±1.2","1,377","±182","6.7%","±0.9","1,003","±150","6.8%","±1.0","499","±136","6.6%","±1.8","504","±113","7.0%","±1.5","684","±130","4.1%","±0.8","334","±112","4.1%","±1.4","350","±67","4.1%","±0.8","1,455","±315","5.5%","±1.2","658","±150","5.1%","±1.2","797","±277","5.8%","±2.0","451","±88","3.7%","±0.7","237","±61","4.1%","±1.1","214","±77","3.3%","±1.2","1,202","±189","4.3%","±0.7","691","±140","5.0%","±1.0","511","±179","3.6%","±1.3"
"        10 to 14 years","1,196","±208","6.6%","±1.2","704","±165","7.7%","±1.8","492","±146","5.5%","±1.6","6,123","±359","7.5%","±0.4","3,282","±353","8.1%","±0.9","2,841","±331","6.8%","±0.8","6,657","±560","5.2%","±0.4","3,171","±418","5.2%","±0.7","3,486","±370","5.2%","±0.6","1,399","±157","7.2%","±0.8","673","±114","7.3%","±1.2","726","±138","7.1%","±1.3","1,588","±189","6.8%","±0.8","740","±183","6.5%","±1.6","848","±123","7.2%","±1.0","3,225","±320","7.0%","±0.7","1,634","±191","7.6%","±0.9","1,591","±238","6.6%","±1.0","1,561","±239","6.0%","±0.9","890","±204","6.9%","±1.6","671","±161","5.2%","±1.2","6,206","±453","8.4%","±0.6","3,010","±312","8.2%","±0.8","3,196","±286","8.6%","±0.8","2,310","±299","7.7%","±1.0","1,097","±206","7.5%","±1.4","1,213","±222","7.9%","±1.5","3,092","±330","7.5%","±0.8","1,439","±259","7.1%","±1.3","1,653","±216","8.0%","±1.0","854","±146","5.8%","±1.0","524","±136","6.9%","±1.8","330","±92","4.6%","±1.3","842","±131","5.0%","±0.8","406","±124","4.9%","±1.5","436","±60","5.1%","±0.7","1,700","±284","6.4%","±1.1","844","±165","6.6%","±1.3","856","±220","6.2%","±1.6","415","±104","3.4%","±0.8","198","±54","3.4%","±0.9","217","±86","3.4%","±1.3","1,914","±235","6.9%","±0.8","861","±177","6.2%","±1.3","1,053","±155","7.5%","±1.1"
"        15 to 19 years","1,215","±99","6.7%","±0.5","726","±100","8.0%","±1.0","489","±38","5.5%","±0.4","5,391","±109","6.6%","±0.1","2,766","±84","6.8%","±0.2","2,625","±72","6.3%","±0.2","14,747","±875","11.5%","±0.7","6,112","±368","10.0%","±0.6","8,635","±820","12.9%","±1.2","1,108","±174","5.7%","±0.9","609","±168","6.6%","±1.8","499","±99","4.9%","±1.0","1,464","±198","6.3%","±0.9","856","±134","7.5%","±1.2","608","±137","5.2%","±1.1","3,376","±161","7.4%","±0.4","1,562","±123","7.2%","±0.6","1,814","±146","7.5%","±0.6","1,258","±211","4.9%","±0.8","578","±123","4.5%","±0.9","680","±163","5.2%","±1.2","4,951","±215","6.7%","±0.3","2,642","±194","7.2%","±0.5","2,309","±121","6.2%","±0.3","1,716","±225","5.7%","±0.8","912","±112","6.3%","±0.7","804","±224","5.3%","±1.4","3,489","±202","8.5%","±0.5","1,721","±160","8.5%","±0.8","1,768","±153","8.6%","±0.7","1,080","±155","7.3%","±1.0","688","±126","9.1%","±1.6","392","±68","5.4%","±1.0","847","±110","5.1%","±0.7","429","±61","5.2%","±0.7","418","±86","4.9%","±1.0","1,738","±180","6.5%","±0.7","839","±127","6.5%","±1.0","899","±139","6.5%","±1.0","860","±189","7.0%","±1.5","402","±117","6.9%","±2.0","458","±130","7.1%","±2.0","1,669","±145","6.0%","±0.5","905","±44","6.6%","±0.3","764","±142","5.4%","±1.0"
"        20 to 24 years","1,035","±75","5.7%","±0.4","541","±53","5.9%","±0.6","494","±53","5.5%","±0.6","4,910","±107","6.0%","±0.1","2,484","±73","6.1%","±0.2","2,426","±66","5.8%","±0.2","21,573","±846","16.8%","±0.7","11,074","±338","18.1%","±0.6","10,499","±811","15.7%","±1.2","1,045","±160","5.4%","±0.8","372","±91","4.0%","±1.0","673","±123","6.6%","±1.2","1,731","±230","7.4%","±1.0","880","±204","7.7%","±1.7","851","±106","7.2%","±0.9","3,018","±156","6.6%","±0.3","1,397","±128","6.5%","±0.6","1,621","±116","6.7%","±0.4","1,157","±192","4.5%","±0.7","650","±143","5.1%","±1.1","507","±128","3.9%","±1.0","3,292","±150","4.5%","±0.2","1,663","±112","4.5%","±0.3","1,629","±96","4.4%","±0.3","1,800","±167","6.0%","±0.6","880","±101","6.0%","±0.7","920","±104","6.0%","±0.7","2,276","±181","5.6%","±0.4","1,185","±177","5.8%","±0.9","1,091","±50","5.3%","±0.2","676","±102","4.6%","±0.7","362","±53","4.8%","±0.7","314","±82","4.3%","±1.1","897","±192","5.4%","±1.1","572","±167","7.0%","±2.0","325","±79","3.8%","±0.9","1,913","±172","7.2%","±0.6","930","±155","7.3%","±1.2","983","±126","7.1%","±0.9","891","±195","7.2%","±1.6","579","±133","9.9%","±2.2","312","±132","4.8%","±2.1","2,033","±210","7.3%","±0.8","1,007","±161","7.3%","±1.1","1,026","±126","7.3%","±0.9"
"        25 to 29 years","1,061","±74","5.9%","±0.4","484","±40","5.3%","±0.4","577","±78","6.5%","±0.8","5,814","±21","7.1%","±0.1","2,833","±4","7.0%","±0.1","2,981","±21","7.2%","±0.1","11,514","±14","9.0%","±0.1","5,574","±13","9.1%","±0.1","5,940","±2","8.9%","±0.1","1,132","±194","5.8%","±1.0","610","±146","6.6%","±1.6","522","±107","5.1%","±1.1","1,409","±121","6.1%","±0.5","613","±25","5.3%","±0.2","796","±120","6.8%","±0.9","2,774","±60","6.1%","±0.1","1,295","±25","6.0%","±0.1","1,479","±58","6.1%","±0.2","1,508","±200","5.8%","±0.8","778","±163","6.1%","±1.3","730","±105","5.6%","±0.8","4,632","±228","6.3%","±0.3","2,301","±144","6.3%","±0.4","2,331","±155","6.3%","±0.4","1,823","±75","6.1%","±0.2","914","±55","6.3%","±0.4","909","±60","5.9%","±0.4","1,517","±115","3.7%","±0.3","683","±43","3.4%","±0.2","834","±99","4.0%","±0.5","887","±129","6.0%","±0.9","450","±121","6.0%","±1.6","437","±34","6.0%","±0.5","887","±126","5.3%","±0.8","457","±112","5.6%","±1.4","430","±62","5.0%","±0.7","1,738","±142","6.5%","±0.5","945","±143","7.4%","±1.1","793","±87","5.7%","±0.6","738","±158","6.0%","±1.3","239","±18","4.1%","±0.3","499","±160","7.7%","±2.5","1,378","±26","4.9%","±0.1","717","±26","5.2%","±0.2","661","±27","4.7%","±0.1"
"        30 to 34 years","983","±53","5.4%","±0.3","493","±31","5.4%","±0.4","490","±36","5.5%","±0.4","6,009","±113","7.3%","±0.1","3,010","±73","7.4%","±0.2","2,999","±76","7.2%","±0.2","9,210","±57","7.2%","±0.1","4,515","±51","7.4%","±0.1","4,695","±23","7.0%","±0.1","1,164","±183","6.0%","±0.9","565","±122","6.1%","±1.3","599","±117","5.9%","±1.2","1,233","±107","5.3%","±0.5","623","±72","5.4%","±0.7","610","±68","5.2%","±0.6","2,778","±208","6.1%","±0.5","1,364","±192","6.3%","±0.9","1,414","±144","5.9%","±0.6","1,549","±174","6.0%","±0.7","884","±156","6.9%","±1.2","665","±81","5.1%","±0.6","5,507","±207","7.5%","±0.3","2,659","±153","7.2%","±0.4","2,848","±124","7.7%","±0.3","1,793","±150","6.0%","±0.5","867","±133","5.9%","±0.9","926","±107","6.0%","±0.7","1,769","±101","4.3%","±0.2","802","±62","3.9%","±0.3","967","±74","4.7%","±0.4","738","±66","5.0%","±0.4","333","±21","4.4%","±0.3","405","±63","5.6%","±0.8","839","±68","5.0%","±0.4","373","±14","4.5%","±0.2","466","±67","5.5%","±0.8","1,507","±234","5.7%","±0.9","765","±217","6.0%","±1.6","742","±78","5.4%","±0.6","538","±140","4.4%","±1.1","237","±118","4.1%","±2.0","301","±60","4.7%","±0.9","1,347","±59","4.8%","±0.2","684","±53","5.0%","±0.4","663","±18","4.7%","±0.2"
"        35 to 39 years","1,204","±194","6.7%","±1.1","609","±120","6.7%","±1.3","595","±126","6.7%","±1.4","5,307","±461","6.5%","±0.6","2,596","±326","6.4%","±0.8","2,711","±285","6.5%","±0.7","7,727","±702","6.0%","±0.5","3,804","±465","6.2%","±0.8","3,923","±443","5.9%","±0.7","1,001","±201","5.1%","±1.0","470","±139","5.1%","±1.5","531","±120","5.2%","±1.2","1,214","±228","5.2%","±1.0","598","±145","5.2%","±1.3","616","±157","5.2%","±1.3","3,037","±337","6.6%","±0.7","1,453","±234","6.7%","±1.1","1,584","±245","6.6%","±1.0","1,563","±260","6.1%","±1.0","575","±186","4.5%","±1.5","988","±178","7.6%","±1.4","4,968","±425","6.7%","±0.6","2,439","±268","6.6%","±0.7","2,529","±291","6.8%","±0.8","1,932","±261","6.5%","±0.9","1,097","±202","7.5%","±1.4","835","±162","5.5%","±1.1","2,707","±434","6.6%","±1.1","1,106","±294","5.4%","±1.5","1,601","±258","7.7%","±1.2","1,158","±176","7.8%","±1.2","595","±124","7.9%","±1.6","563","±134","7.8%","±1.8","727","±151","4.3%","±0.9","276","±94","3.4%","±1.2","451","±113","5.3%","±1.3","1,304","±232","4.9%","±0.9","654","±180","5.1%","±1.4","650","±164","4.7%","±1.2","397","±109","3.2%","±0.9","170","±80","2.9%","±1.4","227","±82","3.5%","±1.3","1,466","±283","5.3%","±1.0","643","±181","4.7%","±1.3","823","±204","5.8%","±1.5"
