"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Population 18 to 24 years","1,459","±72","742","±35","717","±73","5,801","±220","2,892","±164","2,909","±148","35,430","±55","16,055","±24","19,375","±57","1,953","±137","1,025","±94","928","±125","2,215","±164","1,095","±122","1,120","±72","4,857","±1,723","1,579","±108","3,278","±1,750","1,906","±137","1,009","±60","897","±125","4,654","±207","2,507","±132","2,147","±145","2,253","±211","1,077","±90","1,176","±166","2,336","±166","1,193","±88","1,143","±147","1,383","±184","679","±108","704","±164","1,036","±57","598","±57","438","±132","2,408","±67","1,105","±47","1,303","±54","1,133","±350","307","±194","826","±316","2,086","±91","1,040","±29","1,046","±82"
"Less than high school graduate","27.9%","±7.7","20.2%","±9.7","35.8%","±12.3","26.4%","±5.3","26.6%","±8.4","26.3%","±8.0","5.7%","±1.0","6.7%","±1.4","4.8%","±1.4","37.8%","±6.7","45.8%","±10.0","29.0%","±10.7","21.2%","±8.6","16.7%","±8.0","25.6%","±14.4","15.2%","±10.2","23.0%","±9.5","11.4%","±12.7","32.1%","±9.1","39.2%","±12.0","24.1%","±9.9","30.7%","±4.9","35.0%","±6.3","25.6%","±7.7","29.6%","±9.0","24.1%","±11.7","34.6%","±14.0","20.5%","±5.0","25.8%","±7.4","15.0%","±5.8","27.8%","±9.5","27.8%","±11.0","27.7%","±17.6","16.2%","±8.5","20.6%","±12.9","10.3%","±7.6","20.1%","±6.6","28.0%","±10.2","13.4%","±8.5","6.3%","±8.2","15.0%","±24.7","3.0%","±5.2","31.4%","±14.7","28.6%","±16.9","34.2%","±16.5"
"High school graduate (includes equivalency)","44.7%","±9.2","57.7%","±12.7","31.2%","±11.9","37.6%","±5.7","42.1%","±8.7","33.2%","±7.4","23.2%","±2.4","21.6%","±2.9","24.5%","±3.3","45.9%","±7.8","39.3%","±10.6","53.2%","±11.1","41.9%","±9.8","48.5%","±11.6","35.5%","±14.0","38.4%","±10.1","49.1%","±7.8","33.2%","±12.5","34.6%","±9.9","38.3%","±12.8","30.4%","±12.5","32.3%","±5.0","34.0%","±7.1","30.2%","±7.4","42.8%","±9.8","42.5%","±14.3","43.1%","±12.6","34.0%","±7.7","35.1%","±9.9","32.8%","±11.8","34.9%","±11.7","39.2%","±16.6","30.7%","±17.5","45.5%","±16.0","40.8%","±24.2","51.8%","±19.2","40.0%","±12.0","40.6%","±15.1","39.5%","±14.5","33.2%","±12.2","44.0%","±23.2","29.2%","±10.8","31.6%","±12.7","36.7%","±18.8","26.5%","±14.2"
"Some college or associate's degree","27.4%","±8.6","22.1%","±11.8","32.9%","±11.0","33.2%","±5.5","28.3%","±8.2","38.1%","±7.9","60.4%","±2.5","62.6%","±3.5","58.5%","±3.6","15.2%","±5.2","14.9%","±7.0","15.5%","±8.0","31.8%","±15.4","34.2%","±12.2","29.5%","±25.7","44.5%","±20.5","26.7%","±8.0","53.1%","±25.9","32.4%","±8.1","22.5%","±8.7","43.5%","±12.2","30.1%","±4.9","27.4%","±6.3","33.2%","±7.0","27.6%","±9.0","33.3%","±15.4","22.3%","±9.6","32.5%","±7.3","32.2%","±10.1","32.9%","±9.6","35.8%","±12.0","33.0%","±15.9","38.5%","±18.5","34.9%","±16.5","32.8%","±25.4","37.9%","±20.8","37.5%","±10.6","31.4%","±14.5","42.7%","±12.5","59.9%","±12.8","41.0%","±28.6","66.9%","±11.3","35.8%","±13.6","33.0%","±16.5","38.5%","±15.4"
"Bachelor's degree or higher","0.0%","±2.7","0.0%","±5.2","0.0%","±5.4","2.7%","±1.8","3.0%","±2.1","2.4%","±2.7","10.8%","±1.8","9.1%","±1.8","12.2%","±2.7","1.1%","±1.4","0.0%","±3.8","2.3%","±2.9","5.0%","±3.1","0.5%","±1.1","9.4%","±5.9","1.9%","±2.0","1.3%","±1.8","2.2%","±3.0","0.9%","±1.5","0.0%","±3.9","2.0%","±3.2","7.0%","±2.9","3.6%","±3.7","11.0%","±4.8","0.0%","±1.8","0.0%","±3.6","0.0%","±3.3","13.0%","±4.1","6.9%","±4.9","19.3%","±6.2","1.6%","±1.7","0.0%","±5.7","3.1%","±3.5","3.4%","±5.0","5.9%","±8.6","0.0%","±8.7","2.4%","±2.1","0.0%","±3.6","4.4%","±3.9","0.6%","±1.2","0.0%","±12.2","0.8%","±1.6","1.2%","±1.7","1.7%","±2.7","0.8%","±1.4"
"Population 25 years and over","11,769","±201","5,805","±95","5,964","±144","41,744","±220","20,172","±230","21,572","±193","59,171","±78","28,355","±47","30,816","±45","13,607","±133","6,332","±102","7,275","±71","14,829","±168","7,139","±138","7,690","±77","27,267","±1,723","12,065","±1,722","15,202","±161","17,414","±137","8,273","±96","9,141","±147","38,166","±206","18,595","±113","19,571","±142","18,669","±147","9,086","±156","9,583","±86","20,160","±167","9,595","±113","10,565","±150","9,630","±184","4,764","±86","4,866","±182","11,794","±156","5,573","±91","6,221","±121","17,538","±83","8,246","±80","9,292","±73","7,691","±350","3,511","±332","4,180","±77","18,526","±99","8,921","±187","9,605","±162"
"Less than 9th grade","10.5%","±1.8","11.6%","±2.6","9.3%","±2.1","7.0%","±1.0","8.3%","±1.4","5.9%","±1.1","5.5%","±0.7","5.0%","±1.1","6.0%","±0.9","9.9%","±1.9","11.4%","±2.9","8.7%","±2.0","6.6%","±1.4","7.9%","±1.8","5.3%","±1.7","11.7%","±1.3","12.8%","±2.0","10.7%","±1.6","8.2%","±1.6","8.6%","±2.3","7.8%","±1.8","8.1%","±0.9","8.2%","±1.1","7.9%","±1.3","8.0%","±1.6","8.9%","±2.4","7.0%","±1.6","2.9%","±1.2","3.4%","±2.2","2.4%","±1.0","6.2%","±2.1","3.4%","±1.7","8.9%","±4.0","6.5%","±1.6","7.7%","±2.5","5.5%","±1.7","8.3%","±1.8","8.9%","±2.6","7.8%","±2.1","4.6%","±1.4","6.0%","±2.2","3.4%","±1.6","5.2%","±1.2","3.9%","±1.4","6.4%","±1.8"
"9th to 12th grade, no diploma","16.5%","±2.4","18.9%","±3.1","14.2%","±3.3","14.1%","±1.6","14.5%","±2.2","13.7%","±1.7","10.2%","±0.9","11.1%","±1.3","9.3%","±1.0","17.1%","±2.6","18.9%","±3.9","15.4%","±2.8","19.1%","±2.2","21.8%","±3.1","16.6%","±3.1","13.4%","±1.8","13.6%","±2.6","13.2%","±1.9","16.5%","±2.3","16.0%","±3.4","17.0%","±2.8","13.0%","±1.5","14.0%","±2.0","12.1%","±1.8","19.2%","±2.3","20.3%","±3.0","18.2%","±3.0","8.4%","±1.5","9.5%","±1.7","7.3%","±1.9","18.1%","±3.3","18.1%","±4.6","18.1%","±4.8","13.0%","±2.2","14.0%","±3.5","12.0%","±2.6","16.8%","±2.2","16.7%","±3.3","17.0%","±3.3","8.9%","±2.5","11.2%","±4.5","7.0%","±1.9","11.6%","±2.1","13.2%","±3.0","10.1%","±2.7"
"High school graduate (includes equivalency)","42.4%","±3.2","43.0%","±4.0","41.9%","±4.2","33.7%","±1.9","33.3%","±2.8","34.2%","±2.3","21.9%","±1.4","20.8%","±2.0","22.8%","±1.7","43.0%","±3.0","42.3%","±4.0","43.7%","±3.9","39.7%","±2.9","40.9%","±4.3","38.5%","±4.0","32.7%","±1.9","31.4%","±3.4","33.7%","±2.5","37.0%","±2.7","38.4%","±3.9","35.7%","±3.5","36.6%","±2.2","37.0%","±2.9","36.3%","±2.5","39.8%","±2.7","40.4%","±3.9","39.2%","±3.6","18.7%","±2.0","17.0%","±2.7","20.3%","±2.7","34.6%","±3.9","35.6%","±5.7","33.6%","±4.9","30.5%","±2.7","28.7%","±4.8","32.2%","±3.3","38.6%","±3.4","39.8%","±4.5","37.5%","±4.0","37.4%","±3.6","38.1%","±4.8","36.8%","±5.3","36.4%","±3.2","35.4%","±4.1","37.3%","±3.9"
"Some college, no degree","15.7%","±2.3","12.3%","±2.5","18.9%","±3.3","22.6%","±1.8","22.8%","±2.8","22.4%","±2.1","16.8%","±1.1","16.1%","±1.5","17.4%","±1.6","14.8%","±2.4","14.7%","±3.3","14.8%","±3.2","15.6%","±2.2","14.8%","±3.1","16.4%","±3.2","17.8%","±1.6","18.6%","±2.5","17.1%","±1.8","17.0%","±2.5","14.1%","±2.6","19.6%","±3.3","18.2%","±1.6","18.8%","±2.2","17.6%","±1.9","15.1%","±2.1","13.0%","±2.7","17.2%","±2.8","19.6%","±2.2","18.0%","±2.9","20.9%","±2.8","24.0%","±3.9","24.0%","±6.4","23.9%","±5.0","20.1%","±2.4","18.8%","±3.4","21.2%","±3.7","17.2%","±2.0","15.5%","±2.9","18.8%","±3.0","19.6%","±3.2","17.8%","±4.6","21.1%","±4.3","20.6%","±2.3","21.5%","±3.5","19.7%","±3.0"
