,Year,"Banks County, Georgia","Barrow County, Georgia","Clarke County, Georgia","Elbert County, Georgia","Franklin County, Georgia","Habersham County, Georgia","Hart County, Georgia","Jackson County, Georgia","Madison County, Georgia","Oconee County, Georgia","Oglethorpe County, Georgia","Rabun County, Georgia","Stephens County, Georgia","Towns County, Georgia","White County, Georgia"
Under 5 years,2010,1160,5773,7134,1287,1349,2913,1677,4376,1696,1859,830,846,1578,375,1590
5 to 9 years,2010,1213,5375,5523,1225,1482,2955,1827,4084,1835,2521,597,943,1501,469,1590
10 to 14 years,2010,1427,4778,4718,1409,1239,2448,1201,4318,2057,2804,1485,1057,1785,459,1669
15 to 19 years,2010,1249,4711,14959,1675,1659,4390,1526,4259,1974,2678,1179,943,1992,1033,1749
20 to 24 years,2010,1017,4048,23589,1225,1548,2237,1376,3092,1529,1512,830,683,1475,407,1378
25 to 29 years,2010,1035,5043,11047,960,1195,2913,1551,3793,1640,1166,640,813,1527,553,1219
30 to 34 years,2010,1106,5110,8055,1246,1150,2533,1401,4201,1751,1607,830,813,1268,375,1351
35 to 39 years,2010,1267,5043,6329,1205,1659,2786,1126,4318,1862,2237,830,911,1811,532,1696
40 to 44 years,2010,1338,5574,5408,1470,1239,2828,1977,4318,2029,2741,1121,1139,1604,532,1934
45 to 49 years,2010,1302,4512,5063,1491,1504,2237,1802,4318,2196,2773,1266,1106,1837,553,2146
50 to 54 years,2010,1302,4114,5178,1429,1571,2406,1827,4026,2196,2584,1194,1220,1889,480,1881
55 to 59 years,2010,1160,3119,4718,1164,1372,2828,1451,3501,1974,2237,801,1252,1604,605,1908
60 to 64 years,2010,1070,3252,3797,1409,1460,2406,2002,3267,1445,1638,1033,1269,1863,1095,1987
65 to 69 years,2010,785,1991,2992,980,1106,1857,1501,2509,1307,1040,640,992,1320,897,1404
70 to 74 years,2010,571,1593,2071,633,929,1646,926,1517,890,819,568,878,932,824,1272
75 to 79 years,2010,250,1194,1956,715,774,1224,826,1109,584,567,378,602,673,490,689
80 to 84 years,2010,285,796,1381,511,465,929,450,642,389,410,204,553,647,407,609
85 years and over,2010,285,465,1266,429,376,591,551,700,417,347,131,228,569,334,450
Under 5 years,2011,1175,5581,7084,1216,1348,2821,1608,4365,1787,1903,778,815,1610,420,1584
5 to 9 years,2011,1211,5649,5574,1216,1415,2949,1860,3947,1926,2451,822,848,1610,525,1530
10 to 14 years,2011,1500,5037,4761,1419,1348,2522,1131,4545,1954,2934,1292,1027,1895,420,1691
15 to 19 years,2011,1283,4628,15445,1622,1591,3078,1633,4305,2010,2709,1160,994,2051,861,1771
20 to 24 years,2011,976,3879,23691,1257,1525,2650,1332,3408,1452,1645,676,717,1480,494,1691
25 to 29 years,2011,994,5445,11032,993,1149,2693,1432,3707,1619,1193,808,880,1402,357,1315
30 to 34 years,2011,1139,5173,8129,1156,1171,2650,1307,4066,1759,1645,852,880,1194,410,1342
35 to 39 years,2011,1301,4968,6387,1237,1613,3035,1206,4186,1898,2354,720,864,1662,641,1745
40 to 44 years,2011,1356,5445,5342,1338,1238,2693,1960,4545,1814,2644,1175,1027,1714,441,1771
45 to 49 years,2011,1319,4968,4994,1460,1481,2864,1860,4724,2261,2676,1263,1109,1714,641,2067
50 to 54 years,2011,1356,4220,5226,1439,1591,2907,1784,4066,2205,2644,1219,1174,1869,630,1906
55 to 59 years,2011,1121,3131,4878,1379,1437,2693,1458,3588,1982,2289,734,1239,1688,641,1986
60 to 64 years,2011,1121,3471,3948,1257,1437,2607,2161,3289,1479,1741,1204,1353,1869,1040,1852
65 to 69 years,2011,813,2314,3136,1054,1127,2137,1432,2691,1340,1193,676,1027,1350,914,1396
70 to 74 years,2011,560,1497,2090,730,972,1582,1131,1674,949,871,617,913,1039,798,1396
75 to 79 years,2011,325,1225,1974,730,751,1282,754,1136,558,580,367,571,571,546,859
80 to 84 years,2011,271,885,1277,426,442,940,452,718,475,419,191,538,649,357,564
85 years and over,2011,253,408,1277,385,420,641,603,777,419,387,132,326,597,368,429
Under 5 years,2012,1168,5462,7066,1266,1280,2711,1618,4339,1903,1936,796,847,1612,399,1493
5 to 9 years,2012,1241,6015,5770,1226,1390,2884,1643,4098,1819,2559,840,766,1560,483,1520
10 to 14 years,2012,1387,5185,4946,1307,1435,2797,1365,4882,1931,2822,1091,1076,1898,409,1873
15 to 19 years,2012,1296,4494,15427,1347,1545,3013,1643,4219,1903,2658,1135,978,1976,892,1574
20 to 24 years,2012,1040,3941,23435,1367,1501,2797,1466,3254,1511,1706,855,799,1586,525,1710
25 to 29 years,2012,931,5393,11305,925,1148,2582,1314,3616,1735,1280,723,864,1404,367,1303
30 to 34 years,2012,1168,5323,8361,1126,1170,2582,1416,4158,1819,1575,914,880,1196,399,1357
35 to 39 years,2012,1296,5047,6477,1226,1589,2884,1264,4098,1791,2461,796,880,1560,546,1737
40 to 44 years,2012,1369,5393,5653,1447,1280,2754,1769,4641,1819,2527,1047,978,1612,493,1900
45 to 49 years,2012,1369,4978,4946,1367,1479,2970,1870,4701,2183,2691,1135,1027,1742,608,1954
50 to 54 years,2012,1350,4494,5299,1427,1655,3056,1769,4158,2155,2691,1194,1141,1924,650,1927
55 to 59 years,2012,1095,3595,4946,1287,1479,2754,1592,3737,1987,2428,973,1271,1742,650,2036
60 to 64 years,2012,1204,3249,4122,1407,1412,2668,1997,3254,1539,1805,1106,1320,1794,997,1900
65 to 69 years,2012,840,2420,3297,1166,1214,2152,1567,2592,1399,1345,752,1108,1534,944,1683
70 to 74 years,2012,639,1590,2355,724,927,1592,1112,1868,980,886,634,929,962,776,1221
75 to 79 years,2012,365,1244,1884,684,706,1248,784,1205,644,525,369,489,728,504,896
80 to 84 years,2012,292,830,1295,362,486,947,430,723,448,427,236,619,676,357,624
85 years and over,2012,201,484,1413,462,375,689,708,663,420,492,147,326,494,493,380
Under 5 years,2013,1118,5245,7013,1254,1232,2634,1572,4301,1683,1861,810,765,1555,411,1480
5 to 9 years,2013,1210,6014,5824,1234,1452,2807,1597,4180,1851,2626,957,765,1399,401,1644
10 to 14 years,2013,1375,5245,4992,1234,1430,2979,1419,4846,2019,2892,943,960,1840,485,1863
15 to 19 years,2013,1283,4546,12956,1294,1408,2979,1572,4119,1823,2626,1090,1009,2073,855,1836
20 to 24 years,2013,1082,4056,25437,1234,1408,2764,1622,3332,1542,1662,884,814,1788,591,1617
25 to 29 years,2013,898,5245,11292,1015,1210,2720,1267,3695,1711,1396,736,830,1399,369,1288
30 to 34 years,2013,1192,5385,8558,1194,1364,2677,1445,3998,1711,1695,869,895,1192,380,1343
35 to 39 years,2013,1210,5315,6538,1075,1452,2764,1166,3877,1879,2327,840,944,1347,517,1644
40 to 44 years,2013,1393,5245,5705,1413,1210,2764,1724,4967,1851,2593,957,911,1684,496,1754
45 to 49 years,2013,1375,4895,5111,1393,1496,2936,1850,4664,2159,2626,1223,960,1840,580,2028
50 to 54 years,2013,1320,4616,5349,1433,1650,2893,1749,4240,2187,2692,1193,1172,1814,686,2000
55 to 59 years,2013,1082,3846,5111,1214,1430,2764,1825,3574,1739,2493,1002,1285,1788,707,2110
60 to 64 years,2013,1247,3357,4398,1453,1430,2677,1749,3453,1851,1861,1002,1302,1788,897,1781
65 to 69 years,2013,972,2448,3328,1194,1166,2332,1698,2726,1486,1429,795,1204,1529,928,1671
70 to 74 years,2013,697,1748,2496,737,1056,1555,1166,1938,1038,997,648,960,1088,823,1343
75 to 79 years,2013,312,1329,1783,637,858,1339,760,1272,645,565,368,472,777,538,1014
80 to 84 years,2013,312,839,1308,438,462,864,456,666,505,432,236,602,648,327,630
85 years and over,2013,220,559,1426,458,330,734,710,727,365,499,177,407,363,538,356
Under 5 years,2014,989,5174,7061,1201,1191,2557,1499,4143,1660,1925,779,683,1364,459,1380
5 to 9 years,2014,1227,6024,5745,1260,1477,2947,1728,4143,1745,2904,1014,943,1390,341,1821
10 to 14 years,2014,1392,5457,5266,1182,1455,2904,1347,4996,2026,2668,882,765,2008,534,1628
15 to 19 years,2014,1319,4678,13763,1221,1323,2904,1474,4082,1829,2566,999,992,1879,907,1738
20 to 24 years,2014,1117,4111,24056,1241,1389,2774,1626,3412,1632,1722,720,846,2034,651,1711
25 to 29 years,2014,879,5174,11370,1044,1279,2514,1321,3595,1717,1385,852,797,1287,384,1407
30 to 34 years,2014,1154,5457,8737,1221,1345,2687,1448,4021,1745,1756,896,846,1210,235,1325
35 to 39 years,2014,1191,5457,6223,1024,1477,2947,1194,3838,1829,2330,985,927,1261,512,1600
40 to 44 years,2014,1429,5032,6343,1339,1191,2731,1651,5118,1745,2566,911,1009,1776,555,1683
45 to 49 years,2014,1392,4961,5146,1359,1455,2861,1855,4691,2167,2735,1117,927,1725,576,1904
50 to 54 years,2014,1264,4607,5266,1457,1610,2947,1778,4143,2167,2735,1146,1139,1750,683,2097
55 to 59 years,2014,1136,3756,5146,1201,1411,2644,1855,3656,1773,2330,1102,1236,1879,704,2401
60 to 64 years,2014,1154,3544,4668,1477,1455,2731,1728,3412,1970,2127,926,1334,1673,875,1656
65 to 69 years,2014,934,2693,3590,1300,1301,2384,1601,2681,1660,1520,926,1334,1750,950,1738
70 to 74 years,2014,879,1914,2513,729,970,1647,1296,2193,957,1047,558,943,1004,832,1435
75 to 79 years,2014,440,1347,2035,591,860,1517,788,1401,647,608,441,569,669,555,1021
80 to 84 years,2014,275,992,1197,473,463,867,610,792,535,338,235,618,618,437,690
85 years and over,2014,147,496,1556,433,397,693,635,609,338,574,220,374,412,501,331
Under 5 years,2015,990,5041,6892,1211,1282,2612,1479,4115,1637,1789,823,732,1281,464,1306
5 to 9 years,2015,1302,6049,5683,1270,1304,2873,1504,4422,1835,2924,999,830,1409,335,1834
10 to 14 years,2015,1247,5545,5441,1094,1459,2916,1581,4914,1892,2821,867,748,1998,475,1695
